Precompiling Pkg...
    936.0 ms  ✓ MozillaCACerts_jll
   1013.1 ms  ✓ UUIDs
   1035.3 ms  ✓ p7zip_jll
   1048.6 ms  ✓ Logging
   1043.5 ms  ✓ Zlib_jll
   1151.9 ms  ✓ NetworkOptions
   1116.3 ms  ✓ Unicode
   1142.1 ms  ✓ MbedTLS_jll
   1150.2 ms  ✓ nghttp2_jll
   1204.4 ms  ✓ Base64
    313.7 ms  ✓ LibSSH2_jll
    410.1 ms  ✓ Printf
    379.6 ms  ✓ LibGit2_jll
    378.6 ms  ✓ LibCURL_jll
   2053.6 ms  ✓ ArgTools
    577.2 ms  ✓ LibCURL
    534.1 ms  ✓ Tar
   2312.7 ms  ✓ Dates
   2807.6 ms  ✓ Markdown
   2336.3 ms  ✓ LibGit2
    430.8 ms  ✓ TOML
   2872.0 ms  ✓ Downloads
  38006.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 43 seconds
Precompiling project...
   1876.4 ms  ✓ IteratorInterfaceExtensions
   1886.7 ms  ✓ UnPack
   1872.3 ms  ✓ CommonSolve
   1899.3 ms  ✓ SimpleUnPack
   1897.6 ms  ✓ MuladdMacro
   1975.6 ms  ✓ ConcreteStructs
   2084.7 ms  ✓ ExprTools
   2087.9 ms  ✓ Future
   2470.8 ms  ✓ OpenLibm_jll
   2669.6 ms  ✓ InverseFunctions
   2971.4 ms  ✓ Statistics
   3279.5 ms  ✓ Serialization
   3485.6 ms  ✓ ADTypes
   3693.9 ms  ✓ FunctionWrappers
   2013.7 ms  ✓ DataValueInterfaces
   1991.5 ms  ✓ Reexport
   2297.5 ms  ✓ ManualMemory
   2106.6 ms  ✓ EnumX
   1889.5 ms  ✓ SIMDTypes
   2598.3 ms  ✓ SuiteSparse_jll
   2695.8 ms  ✓ CompilerSupportLibraries_jll
   2694.5 ms  ✓ OrderedCollections
   2789.5 ms  ✓ Requires
   5263.2 ms  ✓ FillArrays
   2382.2 ms  ✓ Mmap
   2087.8 ms  ✓ CompositionsBase
   1901.5 ms  ✓ FastPower
   5570.3 ms  ✓ OffsetArrays
   1894.9 ms  ✓ IfElse
   2015.1 ms  ✓ CommonWorldInvalidations
   2085.7 ms  ✓ DataAPI
   2596.3 ms  ✓ Inflate
   2016.5 ms  ✓ PackageExtensionCompat
   2597.6 ms  ✓ ConstructionBase
   2200.8 ms  ✓ FastClosures
   3599.6 ms  ✓ EnzymeCore
   5014.0 ms  ✓ IrrationalConstants
   2519.9 ms  ✓ StaticArraysCore
   1707.3 ms  ✓ TableTraits
   3020.2 ms  ✓ CpuId
   2597.3 ms  ✓ Compat
   2916.8 ms  ✓ DocStringExtensions
   3406.4 ms  ✓ Preferences
   2875.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4401.2 ms  ✓ GenericSchur
   2195.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2581.4 ms  ✓ RuntimeGeneratedFunctions
   5800.4 ms  ✓ FastLapackInterface
   2190.8 ms  ✓ FunctionWrappersWrappers
   6291.9 ms  ✓ InteractiveUtils
   5197.0 ms  ✓ LazyArtifacts
   2110.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2518.1 ms  ✓ Adapt
   2013.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2000.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3001.6 ms  ✓ LogExpFunctions
   4486.0 ms  ✓ DifferentiationInterface
   2206.5 ms  ✓ NaNMath
   4106.1 ms  ✓ ThreadingUtilities
   2209.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2201.1 ms  ✓ DiffResults
   2195.2 ms  ✓ Compat → CompatLinearAlgebraExt
   2299.6 ms  ✓ Parameters
   2387.4 ms  ✓ JLLWrappers
   2676.3 ms  ✓ PrecompileTools
   3086.5 ms  ✓ GPUArraysCore
   2497.6 ms  ✓ EnzymeCore → AdaptExt
   2499.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3997.9 ms  ✓ ArrayInterface
   3184.3 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   5106.7 ms  ✓ Tables
  12308.6 ms  ✓ MacroTools
  10187.6 ms  ✓ Distributed
  11689.0 ms  ✓ TimerOutputs
   2081.6 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2992.4 ms  ✓ OpenSpecFun_jll
   3303.0 ms  ✓ oneTBB_jll
   1891.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1992.5 ms  ✓ SciMLStructures
   2714.6 ms  ✓ CommonSubexpressions
   4204.5 ms  ✓ Static
   2498.6 ms  ✓ TruncatedStacktraces
   7401.4 ms  ✓ ChainRulesCore
   7206.6 ms  ✓ IntelOpenMP_jll
   8513.4 ms  ✓ DataStructures
   3595.2 ms  ✓ MaybeInplace
   4103.4 ms  ✓ SimpleTraits
   3496.9 ms  ✓ SharedArrays
   2792.9 ms  ✓ BitTwiddlingConvenienceFunctions
   6200.3 ms  ✓ Setfield
   8601.4 ms  ✓ RecipesBase
   2303.1 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2391.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   1990.8 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   5684.8 ms  ✓ CPUSummary
   3104.4 ms  ✓ FiniteDiff
   9814.4 ms  ✓ Accessors
  19902.5 ms  ✓ SparseArrays
   4206.9 ms  ✓ HostCPUFeatures
  17086.6 ms  ✓ Test
   7611.4 ms  ✓ StaticArrayInterface
   2375.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   7602.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3409.1 ms  ✓ PolyesterWeave
   6708.2 ms  ✓ MKL_jll
   2705.9 ms  ✓ Accessors → AccessorsDatesExt
   2703.5 ms  ✓ Statistics → SparseArraysExt
   2910.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2879.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2615.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2910.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   4596.9 ms  ✓ KLU
   2809.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   5301.7 ms  ✓ SymbolicIndexingInterface
   3075.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2900.6 ms  ✓ InverseFunctions → InverseFunctionsTestExt
  14022.6 ms  ✓ SpecialFunctions
   2803.9 ms  ✓ Accessors → AccessorsTestExt
   6310.1 ms  ✓ SciMLOperators
   5014.1 ms  ✓ SparseMatrixColorings
   2508.1 ms  ✓ StaticArrayInterface → StaticArrayInterfaceOffsetArraysExt
   2415.4 ms  ✓ CloseOpenIntervals
   2599.8 ms  ✓ LayoutPointers
   4310.9 ms  ✓ Sparspak
   2002.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   2525.2 ms  ✓ DiffRules
   2624.4 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   2605.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2596.8 ms  ✓ StrideArraysCore
   5703.4 ms  ✓ RecursiveArrayTools
